news source,time,category,title,link,summary
Baotintuc.vn,12/06/2023 20:53,Chính trị,Ủy ban Thường vụ Quốc hội cho ý kiến về dự án Luật Hợp tác xã (sửa đổi),https://vnanet.vn/Frontend/TrackingView.aspx?IID=6781134,"Chiều 12/6, tại Nhà Quốc hội, dưới sự chủ trì của Ủy viên Bộ Chính trị, Chủ tịch Quốc hội Vương Đình Huệ, Ủy ban Thường vụ Quốc hội đã họp phiên giữa hai đợt của Kỳ họp thứ Năm, Quốc hội Khóa XV cho ý kiến về một số vấn đề lớn giải trình, tiếp thu, chỉnh lý, hoàn thiện dự án Luật Hợp tác xã (sửa đổi)."
Baotintuc.vn,12/06/2023 20:44,Chính trị,"Linh hoạt xử lý công trình vi phạm, bảo đảm hiệu quả phòng cháy, chữa cháy",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6781118,"Chiều 12/6, tại Trụ sở Chính phủ, Phó Thủ tướng Trần Hồng Hà chủ trì cuộc họp để nghe báo cáo về tháo gỡ khó khăn liên quan đến quy định phòng cháy, chữa cháy cho các cơ sở, công trình xây dựng."
Baotintuc.vn,12/06/2023 16:47,Chính trị,Điện mừng ngày Philippines tuyên bố độc lập,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6780783,"Nhân dịp kỷ niệm lần thứ 125 ngày Tuyên bố Độc lập của nước Cộng hòa Philippines (12/6/1898 - 12/6/2023), ngày 12/6/2023, Chủ tịch nước Võ Văn Thưởng và Thủ tướng Chính phủ Phạm Minh Chính đã gửi điện chúc mừng đến Tổng thống Ferdinand Romualdez Marcos, Chủ tịch Quốc hội Vương Đình Huệ đã gửi điện chúc mừng đến Chủ tịch Hạ viện Martin Romualdez và Chủ tịch Thượng viện Juan Miguel Zubiri."
Baotintuc.vn,12/06/2023 14:54,Chính trị,"Đổi mới, tạo đột phá và đề cao tính nêu gương trong học, làm theo gương Bác",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6780519,"Sáng 12/6 tại Hà Nội, Ban Tuyên giáo Trung ương tổ chức Hội nghị toàn quốc đánh giá tình hình thực hiện Kết luận số 01-KL/TW của Bộ Chính trị khóa XIII về tiếp tục thực hiện Chỉ thị số 05-CT/TW “Về đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh”."
Baotintuc.vn,10/06/2023 09:28,Chính trị,Thủ tướng dự Lễ phát động phong trào Cả nước thi đua học tập,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6777554,"Sáng 10/6/2023, tại quận Hà Đông, thành phố Hà Nội, Thủ tướng Phạm Minh Chính dự Lễ phát động phong trào “Cả nước thi đua xây dựng xã hội học tập, đẩy mạnh học tập suốt đời giai đoạn 2023 - 2030”."
Baotintuc.vn,10/06/2023 06:01,Chính trị,Bộ trưởng Ngoại giao Bùi Thanh Sơn thăm chính thức Cộng hoà Séc,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6777234,"Theo phóng viên TTXVN tại Praha, nhận lời mời của Bộ trưởng Ngoại giao Cộng hòa Séc Jan Lipavsky, Bộ trưởng Ngoại giao Bùi Thanh Sơn thăm chính thức Cộng hòa Séc từ ngày 9-10/6. Trong khuôn khổ chuyến thăm, Bộ trưởng Bùi Thanh Sơn đã gặp Chủ tịch Thượng viện Milos Vystricil; hội đàm với Bộ trưởng Bộ Ngoại giao Jan Lipavsky."
Baotintuc.vn,09/06/2023 20:50,Chính trị,Phát huy sức mạnh tổng hợp trong xây dựng nền quốc phòng toàn dân,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6777018,"Theo chương trình Kỳ họp thứ 5, Quốc hội khóa XV, chiều 9/6, Quốc hội tiến hành thảo luận tại Tổ về dự án Luật Quản lý, bảo vệ công trình quốc phòng và khu quân sự."
Baotintuc.vn,09/06/2023 20:26,Chính trị,Hoàn thiện hệ thống văn bản quy phạm pháp luật về gìn giữ hòa bình Liên hợp quốc,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776971,"Ngày 9/6, tại Hà Nội, Bộ Quốc phòng tổ chức Phiên họp lần thứ nhất Ban Chỉ đạo Lập đề nghị xây dựng Luật về tham gia lực lượng gìn giữ hòa bình của Liên hợp quốc (Ban Chỉ đạo)."
Baotintuc.vn,09/06/2023 19:38,Chính trị,Chủ tịch nước chủ trì phiên họp thứ nhất Ban Chỉ đạo tổng kết lý luận và thực tiễn 40 năm đổi mới,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776889,"Chiều 9/6, Ban Chỉ đạo Tổng kết một số vấn đề lý luận và thực tiễn về công cuộc Đổi mới theo định hướng xã hội chủ nghĩa trong 40 năm qua ở Việt Nam họp Phiên thứ nhất dưới sự chủ trì của Ủy viên Bộ Chính trị, Chủ tịch nước Võ Văn Thưởng. Theo Quyết định số 103-QĐ/TW, ngày 7/4/2023 của Bộ Chính trị, Ban Chỉ đạo này được thành lập với 21 thành viên do Chủ tịch nước làm Trưởng ban."
Baotintuc.vn,09/06/2023 17:31,Chính trị,"Thường trực Ban Bí thư tiếp Đoàn đại biểu cấp cao Thành ủy La Habana, Cuba",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776685,"Ngày 9/6, tại Trụ sở Trung ương Đảng, đồng chí Trương Thị Mai, Ủy viên Bộ Chính trị, Thường trực Ban Bí thư, đã tiếp thân mật Đoàn đại biểu cấp cao do đồng chí Luis Antonio Torres Iríbar, Ủy viên Trung ương Đảng, Bí thư thứ nhất Thành ủy La Habana, Đảng Cộng sản Cuba, dẫn đầu nhân dịp sang thăm, làm việc tại Việt Nam."
Baotintuc.vn,09/06/2023 17:11,Chính trị,Điện mừng Thủ tướng Cộng hòa Bulgaria,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776652,"Nhân dịp Ngài Nikolay Denkov được bầu làm Thủ tướng Cộng hòa Bulgaria, ngày 9/6/2023, Thủ tướng Phạm Minh Chính đã gửi điện chúc mừng."
Baotintuc.vn,09/06/2023 15:50,Chính trị,Đoàn công tác Ban Tuyên giáo Trung ương làm việc tại Trà Vinh,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776437,"Ngày 9/6, Đoàn công tác do Phó trưởng ban Tuyên giáo Trung ương Phan Xuân Thủy làm Trưởng đoàn đã làm việc với Tỉnh ủy Trà Vinh về tiếp tục đẩy mạnh học tập, làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh và những công tác trọng tâm của Ban Tuyên giáo Tỉnh ủy."
Baotintuc.vn,09/06/2023 14:56,Chính trị,Chủ tịch nước Võ Văn Thưởng tiếp Đại sứ Bulgaria,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6776267,"Sáng 9/6, tại Phủ Chủ tịch, Chủ tịch nước Võ Văn Thưởng tiếp bà Marinela Petkova, Đại sứ Bulgaria, đến chào từ biệt kết thúc nhiệm kỳ tại Việt Nam."
Baotintuc.vn,08/06/2023 20:33,Chính trị,"Đại biểu Quốc hội 5 tỉnh, thành phố thăm và làm việc với Bộ Tư lệnh Cảnh sát biển",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6774969,"Chiều tối 8/6, Đoàn đại biểu Quốc hội các tỉnh Quảng Ninh, Quảng Ngãi, Phú Yên, Bến Tre và Thành phố Hồ Chí Minh đã tới thăm và làm việc với Bộ Tư lệnh Cảnh sát biển Việt Nam có sự tham gia của đồng chí Nguyễn Xuân Thắng - Ủy viên Bộ Chính trị, Giám đốc Học viện Chính trị Quốc gia Hồ Chí Minh, Chủ tịch Hội đồng lý luận Trung ương và các đại biểu Quốc hội."
Baotintuc.vn,08/06/2023 17:42,Chính trị,"Phát triển đảng viên trong học sinh, sinh viên khu vực miền Nam",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6774729,"Ngày 8/6, Ban Tổ chức Trung ương phối hợp với Tỉnh ủy Bình Dương tổ chức Hội thảo về công tác phát triển đảng viên trong học sinh, sinh viên khu vực miền Nam."
Baotintuc.vn,08/06/2023 13:35,Chính trị," Quyết liệt, đồng bộ các giải pháp trong lĩnh vực giao thông vận tải",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6774128,"Sáng 8/6, phát biểu kết thúc nhóm vấn đề thứ tư đối với lĩnh vực giao thông vận tải trong phiên chất vấn và trả lời chất vấn tại Quốc hội, Chủ tịch Quốc hội Vương Đình Huệ cho biết, trong phiên chất vấn đã có 112 đại biểu Quốc hội đăng kí chất vấn, trong đó có 20 đại biểu đặt câu hỏi và 17 đại biểu tranh luận. Còn 76 đại biểu đăng ký chất vấn và 2 đại biểu đăng ký tranh luận nhưng chưa được đặt câu hỏi do hết thời gian, Chủ tịch Quốc hội đề nghị đại biểu gửi câu hỏi chất vấn đến Bộ trưởng Bộ Giao thông vận tải để trả lời bằng văn bản theo quy định."
Baotintuc.vn,08/06/2023 13:29,Chính trị,Phó Thủ tướng Lê Minh Khái nêu giải pháp cốt lõi để kiểm soát quyền lực,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6774118,"Sau phần trả lời chất vấn của 4 “Tư lệnh” ngành, lĩnh vực, sáng 8/6, Phó Thủ tướng Lê Minh Khái thay mặt Chính phủ đã trả lời chất vấn nhiều vấn đề đại biểu nêu, liên quan đến tháo gỡ khó khăn, vướng mắc về thị trường bất động sản, trái phiếu doanh nghiệp và thúc đẩy thị trường này phát triển an toàn, lành mạnh; giải pháp cốt lõi để kiểm soát quyền lực; giải pháp tổng thể điều hành giá…"
Baotintuc.vn,08/06/2023 06:08,Chính trị,Phó Chủ tịch EC khẳng định Việt Nam là đối tác quan trọng của EU,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6773283,"Theo phóng viên TTXVN tại Brussels, phát biểu tại cuộc họp chiều 6/6 (giờ địa phương) giữa Ủy ban các nước ASEAN tại Bỉ (ABC) và Phó Chủ tịch Ủy ban châu Âu (EC) kiêm Cao ủy Thương mại Valdis Dombrovski, Đại diện Phái đoàn Việt Nam, Phó Đại sứ Việt Nam tại Bỉ Vũ Thu Thủy nhấn mạnh Liên minh châu Âu (EU) là đối tác quan trọng của Việt Nam, trong đó thương mại là điểm sáng và là trụ cột trong quan hệ Việt Nam-EU."
Baotintuc.vn,07/06/2023 21:51,Chính trị,Tổng thống Algeria đánh giá cao thành tựu phát triển đất nước của Việt Nam,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6773153,"Ngày 6/6, tại Cung điện El Mouradia, Đại sứ Đặc mệnh toàn quyền nước Cộng hòa Xã hội chủ nghĩa Việt Nam Trần Quốc Khánh đã trình Thư Ủy nhiệm của Chủ tịch nước Cộng hòa Xã hội chủ nghĩa Việt Nam Võ Văn Thưởng lên Tổng thống nước Cộng hòa Algeria Dân chủ và Nhân dân Abdelmadjid Tebboune."
Baotintuc.vn,07/06/2023 21:32,Chính trị,"Long An: Nhiều đổi mới trong công tác xây dựng Đảng về chính trị, tư tưởng, đạo đức",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6773134,"Ngày 7/6, Đoàn công tác của Ban Tuyên giáo Trung ương do Phó Trưởng ban Phan Xuân Thủy làm Trưởng đoàn có buổi làm việc với Tỉnh ủy Long An về công tác tuyên giáo. Ủy viên Trung ương Đảng, Bí thư Tỉnh ủy Long An Nguyễn Văn Được cùng lãnh đạo tỉnh và các ban, ngành tiếp Đoàn."
Baotintuc.vn,07/06/2023 16:38,Chính trị,Thành phố Hồ Chí Minh và tỉnh Chungcheongbuk (Hàn Quốc) thúc đẩy hợp tác,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6772543,"Chiều 7/6, ông Võ Văn Hoan, Phó Chủ tịch UBND Thành phố Hồ Chí Minh tiếp ông Kim Myung Kyoo, Phó Tỉnh trưởng tỉnh Chungcheongbuk (Hàn Quốc), đang trong chuyến công tác tại Thành phố."
Baotintuc.vn,07/06/2023 14:57,Chính trị,Khai trương Tổng Lãnh sự quán Cộng hòa Vanuatu tại Thành phố Hồ Chí Minh,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6772314,"Ngày 7/6, Văn phòng Tổng Lãnh sự quán Cộng hòa Vanuatu khai trương tại Thành phố Hồ Chí Minh với sự tham dự của ông Seoule Simeon, Chủ tịch Quốc hội Cộng hòa Vanuatu."
Baotintuc.vn,07/06/2023 13:52,Chính trị,"Chủ tọa điều hành khoa học, chất vấn và trả lời đúng trọng tâm",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6772145,"Sau 1,5 ngày diễn ra Phiên chất vấn và trả lời chất vấn với 2 nhóm về đề thuộc lĩnh vực Lao động, Thương binh và Xã hội; Dân tộc, đều đã nhận được nhiều sự quan tâm của nhiều đại biểu Quốc hội cũng như cử tri và phân dân cả nước."
Baotintuc.vn,07/06/2023 12:55,Chính trị,"Bên lề Kỳ họp thứ 5, Quốc hội khóa XV: Thúc đẩy nghiên cứu, đổi mới sáng tạo",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6772088,"Ngày 7/6, Quốc hội tiến hành chất vấn nhóm vấn đề thuộc lĩnh vực Khoa học và Công nghệ. Nội dung chất vấn ngày càng được đông đảo cử tri theo dõi và đặc biệt quan tâm."
Baotintuc.vn,07/06/2023 12:11,Chính trị,"Bên lề Kỳ họp thứ 5, Quốc hội khóa XV: Đưa ra nhiều giải pháp căn cơ, trước mắt và lâu dài",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6772043,"Với tinh thần thẳng thắn, trách nhiệm, đi thẳng vào những vấn đề người dân, cử tri, doanh nghiệp quan tâm, Phiên chất vấn và trả lời chất vấn hai nhóm vấn đề lao động và dân tộc đã kết thúc vào sáng 7/6."
Baotintuc.vn,06/06/2023 20:03,Chính trị,"Bảo vệ vững chắc chủ quyền, an ninh biên giới biển và cửa khẩu cảng ",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770974,"Chiều 6/6, Ban chấp hành Đảng bộ Bộ đội Biên phòng TP Hồ Chí Minh đã tổ chức Hội nghị sơ kết, đánh giá giữa nhiệm kỳ thực hiện nghị quyết Đại hội Đảng bộ Bộ đội biên phòng TP Hồ Chí Minh lần XI, nhiệm kỳ 2020 - 2025. Ông Phan Văn Mãi, Ủy viên Trung ương Đảng, Phó Bí thư Thường trực Thành ủy, Chủ tịch UBND TP Hồ Chí Minh đến dự và chỉ đạo hội nghị."
Baotintuc.vn,06/06/2023 20:01,Chính trị,Điện mừng Tổng thống Cộng hòa Paraguay,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770973,"Nhân dịp ngài Santiago Peña Palacios đắc cử Tổng thống Cộng hòa Paraguay, ngày 6/6/2023, Chủ tịch nước Võ Văn Thưởng đã gửi điện chúc mừng."
Baotintuc.vn,06/06/2023 19:57,Chính trị,Điện mừng Quốc khánh Vương quốc Thụy Điển,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770968,"Nhân dịp Quốc khánh Vương quốc Thụy Điển (6/6), ngày 6/6/2023, Chủ tịch nước Võ Văn Thưởng đã gửi điện mừng tới Quốc Vương Carl XVI Gustaf, Thủ tướng Chính phủ Phạm Minh Chính đã gửi điện mừng tới Thủ tướng Ulf Kristersson, Chủ tịch Quốc hội Vương Đình Huệ đã gửi điện mừng tới Chủ tịch Quốc hội Andreas Norlen."
Baotintuc.vn,06/06/2023 19:49,Chính trị,Điện mừng Phó Tổng thống Cộng hòa Thổ Nhĩ Kỳ,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770964,"Nhân dịp ngài Cevdet Yilmaz được bổ nhiệm làm Phó Tổng thống nước Cộng hòa Thổ Nhĩ Kỳ, ngày 6/6/2023, Thủ tướng Chính phủ Phạm Minh Chính đã gửi điện chúc mừng."
Baotintuc.vn,06/06/2023 18:33,Chính trị,Quảng Trị: Tập trung xây dựng trường chính trị chuẩn,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770837,"Chiều 6/6, Đoàn công tác của Học viện Chính trị quốc gia Hồ Chí Minh do đồng chí Nguyễn Xuân Thắng, Ủy viên Bộ chính trị, Giám đốc Học viện, Chủ tịch Hội đồng lý luận Trung ương làm Trưởng đoàn đã có buổi làm việc với tỉnh Quảng Trị."
Baotintuc.vn,06/06/2023 14:33,Chính trị,"Việt Nam - Trung Quốc trao đổi học thuật, chia sẻ kinh nghiệm xây dựng chủ nghĩa xã hội",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6770210,"Ngày 6/6, tại Hà Nội, Viện Triết học thuộc Viện Hàn lâm Khoa học xã hội Việt Nam phối hợp với Hội Triết học và Viện Khổng Tử thuộc Trường Đại học Hà Nội tổ chức Hội thảo khoa học quốc tế: “Chủ nghĩa xã hội ở Việt Nam, Trung Quốc và những đóng góp đối với thế giới”."
Baotintuc.vn,06/06/2023 11:55,Chính trị,Vai trò của Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam trong cuộc kháng chiến chống Mỹ,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6769952,"Ngày 6/6, tại thành phố Đông Hà, tỉnh Quảng Trị phối hợp với Học viện Chính trị Quốc gia Hồ Chí Minh và Văn phòng Chính phủ tổ chức Hội thảo khoa học cấp Bộ “Bằng chứng lịch sử và vai trò của Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam trong cuộc kháng chiến chống Mỹ, cứu nước”. Sự kiện nằm trong chuỗi hoạt động kỷ niệm 50 năm Ngày ra mắt Trụ sở Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam tại Cam Lộ (6/6/1973 - 6/6/2023)."
Baotintuc.vn,05/06/2023 14:33,Chính trị,Chủ tịch nước Võ Văn Thưởng tiếp Đại sứ Hoa Kỳ tại Việt Nam,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6768192,"Sáng 5/6, tại Phủ Chủ tịch, Chủ tịch nước Võ Văn Thưởng tiếp Đại sứ đặc mệnh toàn quyền Hoa Kỳ tại Việt Nam Marc E. Knapper."
Baotintuc.vn,05/06/2023 12:47,Chính trị,"Góp phần thể chế hóa đầy đủ chủ trương, chính sách về nhà ở",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6767999,"Sáng 5/6, tiếp tục chương trình làm việc tại Kỳ họp thứ 5, Quốc hội thảo luận tại tổ về dự án Luật Nhà ở (sửa đổi)."
Baotintuc.vn,04/06/2023 19:29,Chính trị,Tổng Bí thư Nguyễn Phú Trọng tiếp Thủ tướng Australia Anthony Albanese,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6767203,"Chiều 4/6, tại Trụ sở Trung ương Đảng, Tổng Bí thư Nguyễn Phú Trọng đã tiếp Lãnh đạo Công đảng, Thủ tướng Chính phủ Australia Anthony Albanese đang thăm chính thức Việt Nam."
Baotintuc.vn,04/06/2023 10:09,Chính trị,Thủ tướng Phạm Minh Chính hội đàm với Thủ tướng Australia ,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6766514,"Nhận lời mời của Thủ tướng Phạm Minh Chính, Thủ tướng Australia Anthony Albanese thăm chính thức Việt Nam từ ngày 3 - 4/6/2023. Sau Lễ đón chính thức sáng 4/6, Thủ tướng Chính phủ Phạm Minh Chính đã hội đàm với Thủ tướng Anthony Albanese."
Baotintuc.vn,04/06/2023 09:10,Chính trị,Thủ tướng Phạm Minh Chính chủ trì lễ đón Thủ tướng Australia thăm chính thức Việt Nam,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6766419,"Sáng 4/6, tại Phủ Chủ tịch, Thủ tướng Chính phủ Phạm Minh Chính chủ trì lễ đón trọng thể Thủ tướng Australia Anthony Albanese thăm chính thức Việt Nam từ ngày 3 - 4/6 theo nghi thức dành cho người đứng đầu Chính phủ nước ngoài thăm chính thức Việt Nam."
Baotintuc.vn,04/06/2023 08:13,Chính trị,Tuần làm việc thứ 3: Quốc hội tiến hành hoạt động chất vấn và trả lời chất vấn,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6766353,"Từ ngày 5 -10/6, Quốc hội tiến hành tuần làm việc thứ 3, Kỳ họp thứ 5 với nhiều nội dung quan trọng."
Baotintuc.vn,03/06/2023 14:50,Chính trị,Thúc đẩy hợp tác nhiều mặt giữa Việt Nam - Nhật Bản trên các lĩnh vực,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6765463,"Ngày 3/6, tại Lào Cai, Nhóm Nghị sĩ hữu nghị Việt Nam - Nhật Bản tổ chức họp nhóm lần thứ 3."
Baotintuc.vn,03/06/2023 13:43,Chính trị,Việt Nam tham dự Đối thoại Shangri-La lần thứ 20,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6765372,"Theo phóng viên TTXVN tại Singapore, sáng 3/6, Đối thoại an ninh quốc phòng Shangri-La lần thứ 20 (SLD20) tại Singapore do Viện Nghiên cứu Chiến lược Quốc tế (IISS) tổ chức đã chính thức khai mạc với sự tham dự của trên 550 đại biểu là lãnh đạo quốc phòng, an ninh và giới chuyên gia học giả đến từ 41 quốc gia."
Baotintuc.vn,03/06/2023 13:18,Chính trị,"Thủ tướng: Tập trung vào 3 động lực tăng trưởng là xuất khẩu, đầu tư và tiêu dùng ",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6765355,"Trên quan điểm tập trung ưu tiên cho thúc đẩy tăng trưởng, Thủ tướng Chính phủ chỉ đạo các bộ, ngành, địa phương tập trung cao độ triển khai các nhiệm vụ, giải pháp tháo gỡ khó khăn cho sản xuất kinh doanh, hỗ trợ doanh nghiệp về thủ tục hành chính, lãi suất, tìm kiếm, mở rộng sang các thị trường mới; đẩy mạnh 3 động lực tăng trưởng gồm xuất khẩu, đầu tư và tiêu dùng..."
Baotintuc.vn,02/06/2023 19:05,Chính trị,136 đảng viên được Đảng ủy Khối cơ quan Trung ương tặng Huy hiệu Đảng đợt 19/5,https://vnanet.vn/Frontend/TrackingView.aspx?IID=6764467,"Đảng ủy Khối các cơ quan Trung ương cho biết, 136 đảng viên của các tổ chức đảng ở các cơ quan, bộ, ban, ngành, Mặt trận Tổ quốc, các hội, đoàn thể Trung ương... thuộc Khối, đã vinh dự được xét tặng Huy hiệu Đảng (30 năm, 40 năm, 45 năm, 50 năm, 55 năm, 60 năm). Đây là những đảng viên có đủ tiêu chuẩn, điều kiện theo quy định, Điều lệ Đảng, để được xét tặng."
Baotintuc.vn,02/06/2023 17:35,Chính trị,"Bến Tre: Kỷ luật tổ chức Đảng, đảng viên vi phạm",https://vnanet.vn/Frontend/TrackingView.aspx?IID=6764322,"Ngày 2/6, Ủy ban Kiểm tra Tỉnh ủy Bến Tre cho biết, Kỳ họp lần thứ 13 của Ủy ban Kiểm tra Tỉnh ủy (tổ chức ngày 1/6) để kết luận kết quả kiểm tra việc thực hiện nhiệm vụ kiểm tra, giám sát và thi hành kỷ luật trong Đảng đối với Ban Thường vụ Huyện ủy, Ủy ban Kiểm tra Huyện ủy Thạnh Phú; xem xét thi hành kỷ luật tổ chức Đảng, đảng viên; giải quyết khiếu nại kỷ luật đảng."
